IdNo,GameName,Genre,Top_Country,Country_Code,Continent,Releaseyear,PlayerNo,TournamentNo, Top_Country_Earnings , TotalMoney 
505,Gears of War: Ultimate Edition,Third-Person Shooter,United States,US,North America,2015,39,3,133500,170000
172,TrackMania Nations Forever,Racing,Sweden,SE,Europe,2008,109,73,45848.68,167386.65
171,Counter-Strike: Condition Zero,First-Person Shooter,Korea,KP,Asia,2004,111,3,87150.78,162150.6
630,Farming Simulator 19,Strategy,Germany,DE,Europe,2018,84,12,132590.48,158361.3
694,Multigaming,Strategy,France,FR,Europe,2000,19,3,148384.38,148384.33
183,Unreal Tournament 2003,First-Person Shooter,United States,US,North America,2002,33,14,39000,147473.91
362,FIFA 15,Sports,France,FR,Europe,2014,169,352,34394.05,144373.99
496,Wolfenstein: Enemy Territory,First-Person Shooter,Estonia,EE,Europe,2003,152,18,49392.32,140963.24
161,Quake II,First-Person Shooter,United States,US,North America,1997,32,10,100600,140179.5
211,Mortal Kombat 9,Fighting Game,United States,US,North America,2011,67,26,136719.5,136891.67
184,Unreal Tournament 2004,First-Person Shooter,Germany,DE,Europe,2004,41,12,48947.2,133969.33
411,S.K.I.L.L. - Special Force 2,First-Person Shooter,Germany,DE,Europe,2013,82,21,25836.34,132532.93
407,Evolve,First-Person Shooter,United States,US,North America,2015,110,33,79839.27,131509.05
448,Mortal Kombat XL,Fighting Game,United States,US,North America,2016,50,17,81834.47,129203.79
251,Tekken Tag Tournament 2,Fighting Game,Korea,KP,Asia,2011,142,138,66431,125965.7
573,Madden NFL 19,Sports,United States,US,North America,2018,5,3,125000,125000
217,FIFA 09,Sports,Germany,DE,Europe,2008,52,19,65418.41,121618.34
706,Radical Heights,Battle Royale,United States,US,North America,2018,12,2,50000,120000
189,Tekken 6,Fighting Game,United States,US,North America,2007,59,30,56523.74,119874.64
552,Artifact,Collectible Card Game,China,CN,Asia,2018,275,166,26273.47,119168.54
644,Legends of Runeterra,Collectible Card Game,United States,US,North America,2020,30,5,48000,118481.03
421,FIFA 16,Sports,Germany,DE,Europe,2015,61,28,35842.63,117828.11
216,FIFA 10,Sports,Germany,DE,Europe,2009,64,48,33692.39,117026.71
249,Ultimate Marvel vs. Capcom 3,Fighting Game,United States,US,North America,2011,190,169,100625.35,116733.16
495,Guilty Gear Xrd REV 2,Fighting Game,Japan,JP,Asia,2017,101,49,71752.66,116634.7
369,Call of Duty: Modern Warfare 2,First-Person Shooter,United States,US,North America,2009,59,18,52650,112860.64
220,FIFA 06,Sports,Germany,DE,Europe,2005,23,12,30761.56,112464.53
568,Soul Calibur VI,Fighting Game,United States,US,North America,2018,101,49,59002.2,109895.21
530,Warface,First-Person Shooter,Russian Federation,RU,Europe,2013,32,2,89448.6,109555
489,Attack on Titan Tribute Game,Fighting Game,Australia,AU,Oceania,2013,21,15,35100,108650
259,Unreal Tournament 3,First-Person Shooter,Portugal,PT,Europe,2007,7,4,42520.51,104977.82
160,QuakeWorld,First-Person Shooter,United States,US,North America,1996,47,15,36325,103251.7
569,RaceRoom Racing Experience,Racing,Germany,DE,Europe,2013,143,18,45210.29,102918.7
542,NHL 18,Sports,Finland,FI,Europe,2017,20,6,52500,102700
198,Soul Calibur IV,Fighting Game,United States,US,North America,2008,4,3,100260,100260
565,Creative Destruction,Multiplayer Online Battle Arena,United States,US,North America,2018,8,1,90000,100000
477,Madden NFL 2006,Sports,United States,US,North America,2005,1,1,100000,100000
478,Madden NFL 2007,Sports,United States,US,North America,2006,1,1,100000,100000
479,Madden NFL 2008,Sports,United States,US,North America,2007,1,1,100000,100000
480,Madden NFL 2009,Sports,United States,US,North America,2008,1,1,100000,100000
698,Rocket Arena,Battle Royale,United States,US,North America,2020,24,3,95700,100000
535,Zula,First-Person Shooter,Poland,PL,Europe,2015,20,1,65000,100000
